DRG;DESCRIPTION
32;VENTRICULAR SHUNT PROCEDURES WITH COMPLICATION OR COMORBIDITY
33;VENTRICULAR SHUNT PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
34;CAROTID ARTERY STENT PROCEDURE WITH MAJOR COMPLICATION OR COMORBIDITY
35;CAROTID ARTERY STENT PROCEDURE WITH COMPLICATION OR COMORBIDITY
36;CAROTID ARTERY STENT PROCEDURE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
37;EXTRACRANIAL PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
38;EXTRACRANIAL PROCEDURES WITH COMPLICATION OR COMORBIDITY
39;EXTRACRANIAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
40;PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
41;PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH COMPLICATION OR COMORBIDITY OR PERIPHERAL NEUROSTIMULATOR
42;PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
52;SPINAL DISORDERS AND INJURIES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
53;SPINAL DISORDERS AND INJURIES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
54;NERVOUS SYSTEM NEOPLASMS WITH MAJOR COMPLICATION OR COMORBIDITY
55;NERVOUS SYSTEM NEOPLASMS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
56;DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
57;DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
58;MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MAJOR COMPLICATION OR COMORBIDITY
59;MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH COMPLICATION OR COMORBIDITY
60;MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
61;ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH MAJOR COMPLICATION OR COMORBIDITY
62;ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH COMPLICATION OR COMORBIDITY
63;ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
64;INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MAJOR COMPLICATION OR COMORBIDITY
65;INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH COMPLICATION OR COMORBIDITY OR TPA IN 24 HOURS
66;INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
67;NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MAJOR COMPLICATION OR COMORBIDITY
68;NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MAJOR COMPLICATION OR COMORBIDITY
69;TRANSIENT ISCHEMIA
70;NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
71;NONSPECIFIC CEREBROVASCULAR DISORDERS WITH COMPLICATION OR COMORBIDITY
72;NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
73;CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
74;CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
75;VIRAL MENINGITIS WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
76;VIRAL MENINGITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
77;HYPERTENSIVE ENCEPHALOPATHY WITH MAJOR COMPLICATION OR COMORBIDITY
78;HYPERTENSIVE ENCEPHALOPATHY WITH COMPLICATION OR COMORBIDITY
79;HYPERTENSIVE ENCEPHALOPATHY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
80;NONTRAUMATIC STUPOR AND COMA WITH MAJOR COMPLICATION OR COMORBIDITY
81;NONTRAUMATIC STUPOR AND COMA WITHOUT MAJOR COMPLICATION OR COMORBIDITY
82;TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITH MAJOR COMPLICATION OR COMORBIDITY
83;TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITH COMPLICATION OR COMORBIDITY
84;TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
85;TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITH MAJOR COMPLICATION OR COMORBIDITY
86;TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITH COMPLICATION OR COMORBIDITY
87;TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
88;CONCUSSION WITH MAJOR COMPLICATION OR COMORBIDITY
89;CONCUSSION WITH COMPLICATION OR COMORBIDITY
90;CONCUSSION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
91;OTHER DISORDERS OF NERVOUS SYSTEM WITH MAJOR COMPLICATION OR COMORBIDITY
92;OTHER DISORDERS OF NERVOUS SYSTEM WITH COMPLICATION OR COMORBIDITY
93;OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
94;BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MAJOR COMPLICATION OR COMORBIDITY
95;BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH COMPLICATION OR COMORBIDITY
96;BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
97;NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MAJOR COMPLICATION OR COMORBIDITY
98;NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH COMPLICATION OR COMORBIDITY
99;NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
100;SEIZURES WITH MAJOR COMPLICATION OR COMORBIDITY
101;SEIZURES WITHOUT MAJOR COMPLICATION OR COMORBIDITY
102;HEADACHES WITH MAJOR COMPLICATION OR COMORBIDITY
103;HEADACHES WITHOUT MAJOR COMPLICATION OR COMORBIDITY
113;ORBITAL PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
114;ORBITAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
115;EXTRAOCULAR PROCEDURES EXCEPT ORBIT
116;INTRAOCULAR PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
117;INTRAOCULAR PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
121;ACUTE MAJOR EYE INFECTIONS WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
122;ACUTE MAJOR EYE INFECTIONS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
123;NEUROLOGICAL EYE DISORDERS
124;OTHER DISORDERS OF THE EYE WITH MAJOR COMPLICATION OR COMORBIDITY
125;OTHER DISORDERS OF THE EYE WITHOUT MAJOR COMPLICATION OR COMORBIDITY
129;MAJOR HEAD AND NECK PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY OR MAJOR DEVICE
130;MAJOR HEAD AND NECK PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
131;CRANIAL AND FACIAL PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
132;CRANIAL AND FACIAL PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
133;OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
134;OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
135;SINUS AND MASTOID PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
136;SINUS AND MASTOID PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
137;MOUTH PROCEDURES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
138;MOUTH PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
139;SALIVARY GLAND PROCEDURES
146;EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MAJOR COMPLICATION OR COMORBIDITY
147;EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH COMPLICATION OR COMORBIDITY
148;EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
149;DYSEQUILIBRIUM
150;EPISTAXIS WITH MAJOR COMPLICATION OR COMORBIDITY
151;EPISTAXIS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
152;OTITIS MEDIA AND URI WITH MAJOR COMPLICATION OR COMORBIDITY
153;OTITIS MEDIA AND URI WITHOUT MAJOR COMPLICATION OR COMORBIDITY
154;OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
155;OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH COMPLICATION OR COMORBIDITY
156;OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
157;DENTAL AND ORAL DISEASES WITH MAJOR COMPLICATION OR COMORBIDITY
158;DENTAL AND ORAL DISEASES WITH COMPLICATION OR COMORBIDITY
159;DENTAL AND ORAL DISEASES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
163;MAJOR CHEST PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
164;MAJOR CHEST PROCEDURES WITH COMPLICATION OR COMORBIDITY
165;MAJOR CHEST PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
166;OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
167;OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH COMPLICATION OR COMORBIDITY
168;OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
175;PULMONARY EMBOLISM WITH MAJOR COMPLICATION OR COMORBIDITY
176;PULMONARY EMBOLISM WITHOUT MAJOR COMPLICATION OR COMORBIDITY
177;RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MAJOR COMPLICATION OR COMORBIDITY
178;RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH COMPLICATION OR COMORBIDITY
179;RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
180;RESPIRATORY NEOPLASMS WITH MAJOR COMPLICATION OR COMORBIDITY
181;RESPIRATORY NEOPLASMS WITH COMPLICATION OR COMORBIDITY
182;RESPIRATORY NEOPLASMS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
183;MAJOR CHEST TRAUMA WITH MAJOR COMPLICATION OR COMORBIDITY
184;MAJOR CHEST TRAUMA WITH COMPLICATION OR COMORBIDITY
185;MAJOR CHEST TRAUMA WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
186;PLEURAL EFFUSION WITH MAJOR COMPLICATION OR COMORBIDITY
187;PLEURAL EFFUSION WITH COMPLICATION OR COMORBIDITY
188;PLEURAL EFFUSION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
189;PULMONARY EDEMA AND RESPIRATORY FAILURE
190;CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MAJOR COMPLICATION OR COMORBIDITY
191;CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH COMPLICATION OR COMORBIDITY
192;CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
193;SIMPLE PNEUMONIA AND PLEURISY WITH MAJOR COMPLICATION OR COMORBIDITY
194;SIMPLE PNEUMONIA AND PLEURISY WITH COMPLICATION OR COMORBIDITY
195;SIMPLE PNEUMONIA AND PLEURISY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
196;INTERSTITIAL LUNG DISEASE WITH MAJOR COMPLICATION OR COMORBIDITY
197;INTERSTITIAL LUNG DISEASE WITH COMPLICATION OR COMORBIDITY
198;INTERSTITIAL LUNG DISEASE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
199;PNEUMOTHORAX WITH MAJOR COMPLICATION OR COMORBIDITY
200;PNEUMOTHORAX WITH COMPLICATION OR COMORBIDITY
201;PNEUMOTHORAX WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
202;BRONCHITIS AND ASTHMA WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
203;BRONCHITIS AND ASTHMA WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
204;RESPIRATORY SIGNS AND SYMPTOMS
205;OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
206;OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MAJOR COMPLICATION OR COMORBIDITY
207;RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS
208;RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS
215;OTHER HEART ASSIST SYSTEM IMPLANT
216;CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MAJOR COMPLICATION OR COMORBIDITY
217;CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH COMPLICATION OR COMORBIDITY
218;CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROEDURESC WITH CARDIAC CATHETERIZATION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
219;CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MAJOR COMPLICATION OR COMORBIDITY
220;CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH COMPLICATION OR COMORBIDITY
221;CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
222;CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITH MAJOR COMPLICATION OR COMORBIDITY
223;CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITHOUT MAJOR COMPLICATION OR COMORBIDITY
224;CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITH MAJOR COMPLICATION OR COMORBIDITY
225;CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITHOUT MAJOR COMPLICATION OR COMORBIDITY
226;CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERATION WITH MAJOR COMPLICATION OR COMORBIDITY
227;CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MAJOR COMPLICATION OR COMORBIDITY
228;OTHER CARDIOTHORACIC PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
229;OTHER CARDIOTHORACIC PROCEDURES WITHOUT MAJOR COMPLICATION OR COMORBIDITY
230;OTHER CARDIOTHORACIC PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
231;CORONARY BYPASS WITH PTCA WITH MAJOR COMPLICATION OR COMORBIDITY
232;CORONARY BYPASS WITH PTCA WITHOUT MAJOR COMPLICATION OR COMORBIDITY
233;CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITH MAJOR COMPLICATION OR COMORBIDITY
234;CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITHOUT MAJOR COMPLICATION OR COMORBIDITY
235;CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MAJOR COMPLICATION OR COMORBIDITY
236;CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MAJOR COMPLICATION OR COMORBIDITY
237;MAJOR CARDIOVASCULAR PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
238;MAJOR CARDIOVASCULAR PROCEDURES WITHOUT MAJOR COMPLICATION OR COMORBIDITY
239;AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MAJOR COMPLICATION OR COMORBIDITY
240;AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH COMPLICATION OR COMORBIDITY
241;AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
242;PERMANENT CARDIAC PACEMAKER IMPLANT WITH MAJOR COMPLICATION OR COMORBIDITY
243;PERMANENT CARDIAC PACEMAKER IMPLANT WITH COMPLICATION OR COMORBIDITY
244;PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
245;AICD GENERATOR PROCEDURES
246;PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MAJOR COMPLICATION OR COMORBIDITY OR 4+ VESSELS OR STENTS
247;PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MAJOR COMPLICATION OR COMORBIDITY
248;PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MAJOR COMPLICATION OR COMORBIDITY OR 4+ VESSELS OR STENTS
249;PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MAJOR COMPLICATION OR COMORBIDITY
250;PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MAJOR COMPLICATION OR COMORBIDITY
251;PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MAJOR COMPLICATION OR COMORBIDITY
252;OTHER VASCULAR PROCEDURES WITH MAJOR COMPLICATION OR COMORBIDITY
253;OTHER VASCULAR PROCEDURES WITH COMPLICATION OR COMORBIDITY
254;OTHER VASCULAR PROCEDURES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
255;UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MAJOR COMPLICATION OR COMORBIDITY
256;UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH COMPLICATION OR COMORBIDITY
257;UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
258;CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MAJOR COMPLICATION OR COMORBIDITY
259;CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MAJOR COMPLICATION OR COMORBIDITY
260;CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MAJOR COMPLICATION OR COMORBIDITY
261;CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH COMPLICATION OR COMORBIDITY
262;CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
263;VEIN LIGATION AND STRIPPING
264;OTHER CIRCULATORY SYSTEM O.R. PROCEDURES
265;AICD LEAD PROCEDURES
266;ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITH MAJOR COMPLICATION OR COMORBIDITY
267;ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITHOUT MAJOR COMPLICATION OR COMORBIDITY
268;AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MAJOR COMPLICATION OR COMORBIDITY
269;AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MAJOR COMPLICATION OR COMORBIDITY
270;OTHER MAJOR CARDIOVASCULAR PROCEDURES W MAJOR COMPLICATION OR COMORBIDITY
271;OTHER MAJOR CARDIOVASCULAR PROCEDURES W COMPLICATION OR COMORBIDITY
272;OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
273;PERCUTANEOUS INTRACARDIAC PROCEDURES W MAJOR COMPLICATION OR COMORBIDITY
274;PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MAJOR COMPLICATION OR COMORBIDITY
280;ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MAJOR COMPLICATION OR COMORBIDITY
281;ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH COMPLICATION OR COMORBIDITY
282;ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
283;ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MAJOR COMPLICATION OR COMORBIDITY
284;ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH COMPLICATION OR COMORBIDITY
285;ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
286;CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATETERIZATION WITH MAJOR COMPLICATION OR COMORBIDITY
287;CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATETERIZATION WITHOUT MAJOR COMPLICATION OR COMORBIDITY
288;ACUTE AND SUBACUTE ENDOCARDITIS WITH MAJOR COMPLICATION OR COMORBIDITY
289;ACUTE AND SUBACUTE ENDOCARDITIS WITH COMPLICATION OR COMORBIDITY
290;ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
